--------------------------------------------------------------------------------------------------------------------------------
|   timestamp   |                                                   message                                                    |
| 1768285324385 | Failed to list notes: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")           |
| 1768286160154 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768286160246 | Database initialized successfully                                                                            |
| 1768286163610 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768286163612 | Successfully connected to RDS database                                                                       |
| 1768286163615 | Note added successfully: test-failure                                                                        |
| 1768286167712 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768286167715 | Successfully connected to RDS database                                                                       |
| 1768286167721 | Successfully retrieved 7 notes                                                                               |
| 1768286285545 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768286285549 | Successfully connected to RDS database                                                                       |
| 1768286285551 | Successfully retrieved 7 notes                                                                               |
| 1768286497662 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768286497680 | Database initialization failed: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)") |
| 1768286500614 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768286500620 | Database connection failed: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")     |
| 1768286500620 | Failed to add note: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")             |
| 1768286503898 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768286503904 | Database connection failed: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")     |
| 1768286503904 | Failed to list notes: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")           |
| 1768286539020 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768286539028 | Database initialization failed: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)") |
| 1768286539997 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768286540008 | Database initialization failed: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)") |
| 1768286540732 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768286540738 | Database initialization failed: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)") |
| 1768286543160 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768286543167 | Database connection failed: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")     |
| 1768286543167 | Failed to add note: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")             |
| 1768286543901 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768286543910 | Database connection failed: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")     |
| 1768286543910 | Failed to add note: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")             |
| 1768286546309 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768286546316 | Database connection failed: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")     |
| 1768286546316 | Failed to list notes: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")           |
| 1768286547021 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768286547027 | Database connection failed: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")     |
| 1768286547028 | Failed to list notes: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")           |
| 1768287137808 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768287137817 | Database connection failed: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")     |
| 1768287137817 | Failed to list notes: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")           |
| 1768287148312 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768287148320 | Database initialization failed: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)") |
| 1768287152801 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768287152810 | Database connection failed: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")     |
| 1768287152810 | Failed to add note: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")             |
| 1768287202189 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768287202214 | Database initialized successfully                                                                            |
| 1768287205374 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768287205376 | Successfully connected to RDS database                                                                       |
| 1768287205378 | Note added successfully: test-failure                                                                        |
| 1768287208810 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768287208813 | Successfully connected to RDS database                                                                       |
| 1768287208816 | Successfully retrieved 8 notes                                                                               |
| 1768287370087 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768287370093 | Successfully connected to RDS database                                                                       |
| 1768287370093 | Successfully retrieved 8 notes                                                                               |
| 1768287372447 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768287372450 | Successfully connected to RDS database                                                                       |
| 1768287372451 | Successfully retrieved 8 notes                                                                               |
| 1768287373147 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768287373149 | Successfully connected to RDS database                                                                       |
| 1768287373150 | Successfully retrieved 8 notes                                                                               |
| 1768287373858 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768287373860 | Successfully connected to RDS database                                                                       |
| 1768287373861 | Successfully retrieved 8 notes                                                                               |
| 1768287419219 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768287419222 | Successfully connected to RDS database                                                                       |
| 1768287419224 | Note added successfully: test-restored-success                                                               |
| 1768287466330 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768287466334 | Successfully connected to RDS database                                                                       |
| 1768287466334 | Successfully retrieved 9 notes                                                                               |
| 1768287539384 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768287539387 | Successfully connected to RDS database                                                                       |
| 1768287539389 | Note added successfully: the_database_is_working_again                                                       |
| 1768287594419 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768287594423 | Successfully connected to RDS database                                                                       |
| 1768287594424 | Successfully retrieved 10 notes                                                                              |
| 1768287665377 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768287665383 | Successfully connected to RDS database                                                                       |
| 1768287665384 | Successfully retrieved 10 notes                                                                              |
--------------------------------------------------------------------------------------------------------------------------------
